shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4543876918785,-86.9029429199066,41,8441.93
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4511824519147,-86.9071955625531,34,7243.5
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.45901,-86.937837,61,12697.59
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4213294637996,-86.9023327173193,5,874.77
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4307721811993,-86.9082000498891,19,3729.86
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4607820785512,-86.9237434520569,54,11091.94
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4606479680925,-86.9128147907743,47,9995.5
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4606198048961,-86.9094298427957,46,9709.3
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4182006667972,-86.8973384438359,2,308.06
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.424095,-86.911233,9,1692.2
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4517296225864,-86.9156002650023,30,6528.48
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4514815182377,-86.9021838547101,39,8104.21
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4498373240135,-86.9010519624383,38,7897.96
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4592384671711,-86.9400740826174,60,12508.88
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4241565122698,-86.91663157443,12,2162.34
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.457538,-86.934027,63,13208.65
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4302129405864,-86.916647667685,14,2835.7
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.450833764722,-86.9155841717472,29,6428.92
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4307788867223,-86.9104383534454,18,3540.54
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4351401588404,-86.9057941082593,22,4422.44
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4313247162893,-86.9131487258165,16,3258
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4202404868746,-86.9007663071612,4,694.48
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4313569027994,-86.9166382799529,15,2962.82
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4418725038691,-86.9107307142455,25,5305.6
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4237769796715,-86.9077869896762,8,1410.72
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4312858242563,-86.9104759043739,17,3484.12
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4373275004224,-86.906149500975,23,4667.35
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4307788867223,-86.905743146285,20,3937.67
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4504931241568,-86.9040761532829,35,7518.17
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4189382743202,-86.8996987879097,3,523.91
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4596381163381,-86.9027390720093,44,9122.24
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4592116450794,-86.9015924275871,43,9014.33
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.425905,-86.916588,13,2312.53
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4492016404391,-86.9035343470296,36,7668.82
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.456489202767,-86.9029281677561,42,8691.42
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4515405268395,-86.9146185764443,31,6614.11
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.443052675906,-86.9125666864256,26,5536.82
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4225377990328,-86.9052321854372,6,1154.4
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4241605355835,-86.9137133308478,10,1917.76
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4480952291546,-86.9156176993619,28,6124.6
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4452802506256,-86.9138487824112,27,5777.87
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4607431865181,-86.9267904416794,55,11349.59
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.449299541074,-86.902067178611,37,7793.36
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4513621599294,-86.9096658772031,33,7033.66
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4606291926282,-86.9059684518557,45,9416.65
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4183025907458,-86.8955547747347,1,156.74
